applicant_id,businessAgeMonths,creditScore,debtToIncomeRatio,monthlyCashFlow,collateralValue,loanAmount,collateralRatio,industryRisk,previousDefaults,expectedDecision,segment
5,18,706,0.34,15763,63713,97821,0.65,low,0,approve,young_business
19,57,798,0.17,27097,40347,67673,0.6,low,0,approve,baseline_clear_approve
18,32,759,0.19,11251,82833,118133,0.7,low,0,approve,seasonal_business
23,49,729,0.26,15197,24446,69890,0.35,low,0,approve,baseline_clear_approve
17,117,757,0.17,10790,66235,102410,0.65,low,0,approve,seasonal_business
32,2,529,0.58,6817,10407,99470,0.1,high,2,reject,baseline_clear_reject
10,88,746,0.41,17945,58954,90513,0.65,high,1,reject,risky_slipthrough
9,93,787,0.41,20146,42906,63906,0.67,high,1,reject,risky_slipthrough
20,93,710,0.14,21580,41066,76227,0.54,low,0,approve,baseline_clear_approve
2,18,816,0.23,15614,54549,83965,0.65,low,0,approve,young_business
38,7,558,0.48,7036,9692,112827,0.09,high,2,reject,baseline_clear_reject
8,42,770,0.41,24246,42044,101871,0.41,high,1,reject,risky_slipthrough
27,117,802,0.24,21521,75512,89926,0.84,low,0,approve,baseline_clear_approve
28,91,781,0.2,18122,46215,86147,0.54,low,0,approve,baseline_clear_approve
24,53,733,0.17,17386,73302,91782,0.8,low,0,approve,baseline_clear_approve
25,108,772,0.18,17056,54288,87456,0.62,low,0,approve,baseline_clear_approve
11,40,659,0.23,20627,88239,105809,0.83,low,0,manual_review,collateral_backed
34,9,505,0.48,7327,17583,114319,0.15,high,2,reject,baseline_clear_reject
6,22,753,0.14,16929,44167,116260,0.38,low,0,approve,young_business
33,3,526,0.56,5168,8875,91708,0.1,high,2,reject,baseline_clear_reject
39,1,571,0.52,4586,5864,107907,0.05,high,3,reject,baseline_clear_reject
36,9,593,0.59,5913,18676,105625,0.18,high,1,reject,baseline_clear_reject
4,18,728,0.26,24551,72997,114188,0.64,low,0,approve,young_business
35,1,635,0.49,8266,10685,69607,0.15,high,1,reject,baseline_clear_reject
3,18,730,0.12,21955,48710,88419,0.55,low,0,approve,young_business
29,86,720,0.13,24842,57379,64413,0.89,low,0,approve,baseline_clear_approve
26,109,783,0.27,15884,85835,105252,0.82,low,0,approve,baseline_clear_approve
12,107,644,0.13,21850,79198,107804,0.73,low,0,manual_review,collateral_backed
21,47,804,0.21,24014,44807,96008,0.47,low,0,approve,baseline_clear_approve
30,102,719,0.23,20957,22930,63445,0.36,low,0,approve,baseline_clear_approve
16,38,707,0.28,10634,65408,91070,0.72,low,0,approve,seasonal_business
1,20,706,0.12,23779,37521,69886,0.54,low,0,approve,young_business
37,9,584,0.55,8023,12454,94903,0.13,high,1,reject,baseline_clear_reject
14,70,661,0.27,24738,84497,110106,0.77,low,0,manual_review,collateral_backed
22,75,787,0.32,18780,56637,78246,0.72,low,0,approve,baseline_clear_approve
13,49,671,0.21,16271,58569,70810,0.83,low,0,manual_review,collateral_backed
31,4,596,0.47,5066,5394,100221,0.05,high,2,reject,baseline_clear_reject
40,8,589,0.59,5987,19281,99658,0.19,high,1,reject,baseline_clear_reject
7,117,723,0.4,24358,47254,97415,0.49,high,1,reject,risky_slipthrough
15,88,708,0.31,10552,59966,92550,0.65,low,0,approve,seasonal_business
